WKT_,WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (112.657822 -8.20883)",POINT (112.657822 -8.20883),270.0,0.0,Kabupaten Malang,270.0,Kabupaten,-8.208830,112.657822,active
"POINT (112.907268 -7.645027)",POINT (112.907268 -7.645027),280.0,0.0,Kabupaten Pasuruan,280.0,Kabupaten,-7.645027,112.907268,active
"POINT (113.217229 -7.749855)",POINT (113.217229 -7.749855),290.0,0.0,Kabupaten Probolinggo,290.0,Kabupaten,-7.749855,113.217229,active
"POINT (113.22454 -8.13352)",POINT (113.22454 -8.13352),300.0,0.0,Kabupaten Lumajang,300.0,Kabupaten,-8.133520,113.224540,active
"POINT (113.668076 -8.184486)",POINT (113.668076 -8.184486),310.0,0.0,Kabupaten Jember,310.0,Kabupaten,-8.184486,113.668076,active
"POINT (113.820679 -7.9672)",POINT (113.820679 -7.9672),320.0,0.0,Kabupaten Bondowoso,320.0,Kabupaten,-7.967200,113.820679,active
"POINT (114.009761 -7.706857)",POINT (114.009761 -7.706857),330.0,0.0,Kabupaten Situbondo,330.0,Kabupaten,-7.706857,114.009761,active
"POINT (114.369118 -8.219233)",POINT (114.369118 -8.219233),340.0,0.0,Kabupaten Banyuwangi,340.0,Kabupaten,-8.219233,114.369118,active
"POINT (113.245012 -7.183899)",POINT (113.245012 -7.183899),350.0,0.0,Kabupaten Sampang,350.0,Kabupaten,-7.183899,113.245012,active
"POINT (113.474953 -7.156574)",POINT (113.474953 -7.156574),360.0,0.0,Kabupaten Pamekasan,360.0,Kabupaten,-7.156574,113.474953,active
"POINT (113.84964 -7.004882)",POINT (113.84964 -7.004882),370.0,0.0,Kabupaten Sumenep,370.0,Kabupaten,-7.004882,113.849640,active
"POINT (112.913644 -7.040195)",POINT (112.913644 -7.040195),380.0,0.0,Kabupaten Bangkalan,380.0,Kabupaten,-7.040195,112.913644,active
